id,country,confirmed,active,deaths,recovered,latitude,longitude,last_update
156,Sri Lanka,117,105,1,11,7.873054,80.771797,1585498555000
84,Honduras,110,105,2,3,15.2,-86.2419,1585498555000
175,West Bank and Gaza,108,89,1,18,31.9522,35.2332,1585498555000
115,Mauritius,107,105,2,0,-20.348404,57.552152,1585498555000
45,Cambodia,103,82,0,21,11.55,104.9167,1585498555000
128,Nigeria,97,93,1,3,9.082,8.6753,1585498555000
32,Belarus,94,62,0,32,53.7098,27.9534,1585498555000
46,Cameroon,91,87,2,2,3.848,11.5021,1585498555000
74,Georgia,91,73,0,18,42.3154,43.3569,1585498555000
97,Kosovo,91,89,1,1,42.602636,20.902977,1585498555000
120,Montenegro,85,84,1,0,42.708678,19.37439,1585498555000
99,Kyrgyzstan,84,84,0,0,41.20438,74.766098,1585498555000
37,Bolivia,81,80,1,0,-16.2902,-63.5887,1585498555000
165,Trinidad and Tobago,76,72,3,1,10.6918,-61.2225,1585498555000
52,Congo (Kinshasa),65,57,6,2,-4.322447,15.307045,1585498555000
141,Rwanda,60,60,0,0,-1.9403,29.8739,1585498555000
105,Liechtenstein,56,56,0,0,47.14,9.55,1585498555000
134,Paraguay,56,52,3,1,-23.4425,-58.4438,1585498555000
30,Bangladesh,48,28,5,15,23.685,90.3563,1585498555000
118,Monaco,43,41,1,1,43.7333,7.4167,1585498555000
95,Kenya,42,40,1,1,-0.0236,37.9062,1585498555000
109,Madagascar,39,39,0,0,-18.766947,46.869107,1585498555000
78,Guatemala,34,23,1,10,15.7835,-90.2308,1585498555000
91,Jamaica,32,29,1,2,18.1096,-77.2975,1585498555000
168,Uganda,30,30,0,0,1.373333,32.290275,1585498555000
176,Zambia,29,29,0,0,-13.133897,27.849332,1585498555000
31,Barbados,26,26,0,0,13.1939,-59.5432,1585498555000
164,Togo,25,23,1,1,8.6195,0.8248,1585498555000
65,El Salvador,24,24,0,0,13.7942,-88.8965,1585498555000
51,Congo (Brazzaville),19,19,0,0,-4.2634,15.2832,1585498555000
70,Ethiopia,19,18,0,1,9.145,40.4897,1585498555000
112,Mali,18,17,1,0,17.570692,-3.996166,1585498555000
127,Niger,18,17,1,0,17.607789,8.081666,1585498555000
111,Maldives,17,6,0,11,3.2028,73.2207,1585498555000
79,Guinea,16,16,0,0,9.9456,-9.6966,1585498555000
82,Haiti,15,14,0,1,18.9712,-72.2852,1585498555000
60,Djibouti,14,14,0,0,11.8251,42.5903,1585498555000
161,Tanzania,14,13,0,1,-6.369028,34.888822,1585498555000
66,Equatorial Guinea,12,12,0,0,1.6508,10.2679,1585498555000
119,Mongolia,12,12,0,0,46.8625,103.8467,1585498555000
28,Bahamas,11,10,0,1,25.025885,-78.035889,1585498555000
61,Dominica,11,11,0,0,15.415,-61.371,1585498555000
123,Namibia,11,9,0,2,-22.9576,18.4904,1585498555000
69,Eswatini,9,9,0,0,-26.5225,31.4659,1585498555000
77,Grenada,9,9,0,0,12.1165,-61.679,1585498555000
159,Syria,9,8,1,0,34.802075,38.996815,1585498555000
43,Burma,8,8,0,0,21.9162,95.956,1585498555000
81,Guyana,8,7,1,0,4.860416,-58.93018,1585498555000
100,Laos,8,8,0,0,19.85627,102.495496,1585498555000
104,Libya,8,8,0,0,26.3351,17.228331,1585498555000
122,Mozambique,8,8,0,0,-18.665695,35.529562,1585498555000
149,Seychelles,8,8,0,0,-4.6796,55.492,1585498555000
158,Suriname,8,8,0,0,3.9193,-56.0278,1585498555000
24,Antigua and Barbuda,7,7,0,0,17.0608,-61.7964,1585498555000
72,Gabon,7,6,1,0,-0.8037,11.6094,1585498555000
177,Zimbabwe,7,6,1,0,-19.015438,29.154857,1585498555000
35,Benin,6,6,0,0,9.3077,2.3158,1585498555000
44,Cabo Verde,6,5,1,0,16.5388,-23.0418,1585498555000
67,Eritrea,6,6,0,0,15.1794,39.7823,1585498555000
83,Holy See,6,6,0,0,41.9029,12.4534,1585498555000
23,Angola,5,5,0,0,-11.2027,17.8739,1585498555000
71,Fiji,5,5,0,0,-17.7134,178.065,1585498555000
114,Mauritania,5,5,0,0,21.0079,-10.9408,1585498555000
